tweet,sentiment,depression_score
Daily intake of #nutritional #supplements cannot prevent #depression  For more:  https://bit.ly/2HmJTX2Â  #nutrition #nutraceuticals #foodscience #health #HealthyLife #diet #pharmaceuticals #functionalmedicine #USA #UK #TuesdayMotivation #WorldWideWeb @Yale @QMUL @PHE_uk pic.twitter.com/fjpNtkm8z0,0,0.0
"Depression is the number one cause of death among the youth in our society today. Majority of the youth are perishing because of this menace; which comes about due to such reasons as lack of jobs, failed relationships, social media glam, and loneliness. #MentalHealthBillKE pic.twitter.com/nzNI3JP2HQ",0,0.0
I haev depression,1,0.5
Depression symptoms can include: Sadness Poor focus Poor memory Lack of appetite Lack sex drive Being tired Withdrawing from friends Withdrawing from family  Keep a loving eye on your friends.,0,0.0
I have a depression case... might have psychological issues thou,1,0.6
But i have a lot going for me: i recognize and acknowledge that i have depression.,1,0.5
" deep depression, I suffer from severe depression. Death at last.",1,0.8
"For some time now I've been questioning what I have to live for, and lateley feeling so tired of fighting. You know,,,like someone very ill who is tired of fighting to hang in there. We can't let our depression or those bigots win.  It's so bloody hard. â¤ï¸â¤ï¸â¤ï¸",1,0.7
me: who gon check me boo?  my depression: hi m here for you,1,0.4
"Betting is causing depression, everything is lost and I am too. ",1,0.5
@justinbieber young take advantage of your youth because after that it will be too late for you justin you are 25 years old like me and God will get you out of this depression if you divorce and you forgive selena gomez of his behavior towards you,0,0.0
"Iâ€™d have to disagree a bit with this one. During a real depression you DO stop loving the things you love, but it isnâ€™t the only result. Real depression causes you to stop loving Everything INCLUDING yourself. Real depression is painful physically & mentally. It is the worst pain i have ever came across.  https://twitter.com/ohteenquotes/status/1104972334937432066Â â€¦",1,0.6
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  http://healthmedicinet.com/i2/brain-stimulation-improves-depression-symptoms-restores-brain-waves-in-clinical-study/Â â€¦  The research, published in Translational Psychiatry, lays the groundwork for larger research studies to use a specific kind of electrical braâ€¦  http://healthmedicinet.com/i2/brain-stimulation-improves-depression-symptoms-restores-brain-waves-in-clinical-study/Â â€¦ pic.twitter.com/LckEtRnLWH",0,0.0
"The depression is actually getting a little better. Anxiety- not as much.  Anyways, this is the welcome back I give you, even if you donâ€™t remember who i am.",1,0.5
" Then there was exams, my brother, my family, myself. Everything kinda worsened my depression+anxiety and everything else.",1,0.5
depression ssksksksk,1,0.4
Skype Counseling Therapy - Mindfulness Therapy. Overcome anxiety & depression without using medications. Contact me to learn more. Please Retweet. See:  https://www.youtube.com/watch?v=Mt6DlWQIZ3EÂ â€¦,0,0.0
"I had to leave a job I loved because the company changed the way of working so drastically, it led to my anxiety and depression being triggered to crisis point.",1,0.4
This man of God traveled all the way from Nakuru East â€” a       â€” to be at the #IntlExperienceHarvestwaysConference   Listen to his reaction/review upon listening to the sermon: OVERCOMING DEPRESSION & MENTAL...  https://www.facebook.com/SJM.HarvestWays/videos/862799847385024/Â â€¦,0,0.0
lolololololol lololololololololol lololololol i have depression lolololoâ€” oh,1,0.5
"It's a terrible situation and make me depressed. I'm sorry that you have to pay for this, I'm sorry to the POC had to pay in the past. I wish humans would just get along. I can't even have a fucking meal a restaurant with people checking out my dark wife and light kid with shocked expressions",1,0.6
Everyday. It's a loop of depression.,1,0.4
So incredibly out of it. Depression over,0,0.0
I donâ€™t attend an IEB school. I go to a very good government school luckily for me and when I applied for university it wasnâ€™t optional to state my race. It was required. I just wanted to know why. That was all.,0,0.0
"donâ€™t know why, but lately iâ€™ve been hit by a lot of nostalgic depression. It hurts.",1,0.4
From depreciation to depression,1,0.3
Depression is like living in a body that fights to survive with a mind that tries to die.,1,0.6
The power of exercise   Treat Depression with Exercise | Psychology Today  https://www.psychologytoday.com/us/blog/boundless/201903/treating-depression-exerciseÂ â€¦,0,0.0
" https://primarycare.pediatricsconferences.com/Â  Young adults who were raised by parents tend to be more emotionally healthy & lower levels of depression and anxiety, #pediatricsconferences #ClinicalPediatrics #NeonatalCare #Breastfeeding #PediatricNursing #PediatricNutrition #PediatricCardiology",0,0.0
Concerns raised about new depression drug  http://bit.ly/2XPqg3eÂ ,0,0.0
"yeah, the pain's gone, im just in the depression fog and dont really know what to do with myself.",1,0.5
"at first i used to think anxiety, depression etc.. was a joke but now, m going through that too, and you definitely neeâ€¦ â€” Mental health will never be a joke, and Iâ€™m sorry you had to experience that to realize that. ¦  https://curiouscat.me/freakincaro/post/813148561?t=1552379538Â â€¦",1,0.5
"No need to apologise. You donâ€™t owe us twitter-twats anything and you take whatever time you need.  Iâ€™m a long term depression sufferer - if it helps to vent at all, my DM box is always open for you. I wonâ€™t promise to say the right things but Iâ€™ll have a level of understanding.",1,0.5
"Well my friend, you're one hell of an athlete at least, and luckily no race can tell you you don't run like lightning :)",0,0.0
"Did you know that Depression is diagnosed incorrectly as anxiety, around 65 percent of the time? Don't ignore these 10 signs..  https://dailyentertainment.me/health/10-symptoms-depressionÂ â€¦",0,0.0
Guys I just want to get into varsity because I deserve to be there and not be denied because Iâ€™m white. Thatâ€™s all. I wasnâ€™t there during apartheid and my parents were only in the beginning of high school when it ended. I donâ€™t think they had any malicious intentions.,0,0.0
"If im not responding or talking its because my brain is a fuck, depression be a bitch I think you are cool and i believe in you",1,0.4
oh my god fish can get depression,0,0.0
"RT @DanielsVictor7: Someone help me pls, suffering from depression and anxiety ",1,0.8
#depression #depressionquotes #quotes #sad #sadquotes #inspirationalquotes #deep #deepquotes #deepquoteshit #inspirational #touching #touchingquotes #emotional #emotionalquotes #lovequotesâ€¦  https://www.instagram.com/p/Bu5tA5qAP0w/?utm_source=ig_twitter_share&igshid=67i39uqw12sfÂ â€¦,0,0.0
"This is truly scary stuff.  ""Growing up in dirty air 'quadruples chances of developing #depression'...Young people more likely to have depression at 18 if exposed to dirtier air at age 12"" #cleanair #cleancities  https://www.theguardian.com/environment/2019/jan/30/children-exposed-to-air-pollution-more-likely-to-develop-depressionÂ â€¦ pic.twitter.com/fw0yeEiXWo",0,0.0
"If you put up with it, youâ€™re going to end up with it. Set the standard you want and donâ€™t settle for less.â€ - Steve Maraboli Book a Free Action Planning Session @  https://buff.ly/2H4N6yMÂ  #Insightfulconversations #mentalhealth #depression #anxiety #mentalhealthawareness #love pic.twitter.com/jn0oUp3luJ",0,0.0
"This device helps with depression, anxiety, and insomnia.  https://youtu.be/55lqcf2jNFIÂ  pic.twitter.com/YGEyPrLZBM",0,0.0
Depression fucking sucks,1,0.4
"I guess Iâ€™m sharing this, because itâ€™s easy for others to say things will get better, itâ€™s hard to believe when you become consumed by depression. But today things are a little  better than the last 5 weeks put together. ",1,0.6
You didn't swipe that other 60% with your white privilege card bruh?,0,0.0
yâ€™all throw around the term seasonal depression way too quickly lol,0,0.0
"Honestly, my depression was really bad like one year ago but when nct came, its like, I am finally over it.I began to hope for better things and my smile start to become sincere.Even though I'm having a bad day, the minute I see them, all the bad things seem to dissappear",0,0.0
@ brain pls let me sleep before I end up overthinking and spiraling into a hole of self-doubt and depression,1,0.3
It is. But sadly thats not the reality in South Africa.,0,0.0
"Exactly. The fact that I literally have no social life because I refuse to go out downtown and drink has 120% made my depression worse since Iâ€™m then stuck at home, alone, with my thoughts day in and day out",1,0.6
my shoes have wheels because the depression doesn't stop,1,0.5
Depression  https://twitter.com/RoyalKenyah/status/1105375444889714689Â â€¦,1,0.5
me: my crops are watered. my skin is clear. my grades are good. my depression is cured.  pic.twitter.com/TLNZ2yblna,0,0.0
German word for today â€˜Weltschmerzâ€™ (n.) - the feeling of depression that comes on when you compare the current state of the world with how it could be ideally. #BrexitShambles,0,0.0
"""I'm like the king of depression"" - @AshyPrime",1,0.5
"Just, if you think you know someone struggling with depression... You can help just by treating them like they're a good friend. Spend time with them, even if they don't feel like doing much. And remind them they always have something to look forward to.",0,0.0
"Been fighting depression for so many years now,  so this hit close to home. I used to be the type who tried to stay strong, hide the pain and take on the problems on my own. It just made it worse, only when i reached out for help from others i could start getting up.",1,0.6
Guys I understand completely I was just curious why a varsity institution required the colour of your skin in order to accept you. It is meant to be an academic institution based off of academics alone.,0,0.0
"An excerpt from my upcoming book ""Journal of a Depressed Bipolar Dude: A Guide to Depression from a Depressed Bipolar Dude"" @DepolSom @giasison pic.twitter.com/HWd2yK4CYo",0,0.0
"wow, depression killing me now.",1,0.4
Like...My Head Starts Hurting Right Before I Come In...I Sleep My Days Away (More Than Normal )...Ugh ,1,0.5
That 5am depression pack hitting kinda hard right now has drained my will to live in 2019.,1,0.5
"Why do you have to make it abrupt? But anyway, whatever the questions that're bothering me it will not be answered anymore, NEVER. You don't have any idea what pain, depression and self pitying I've gone thru thinking the WHYs, WHENs, HOWs, and WHAT IFs of your decisions.",1,0.5
Dark chocolate relieves depression.,0,0.0
trying to accept myself and beat this depression. #MentalHealthBillKE,1,0.5
4 am depression time  pic.twitter.com/0FzqqVdX8y,1,0.3
This weekend i learned that Co-op New super mario is depression in video game form.,0,0.0
"""Depressed"" ""Depressed"" ""Depressed"" ""Depressed"" ""Depressed"" ""Depressed""  ""People thinkÂ depressionÂ is sadness, crying or dressing in black. But people are wrong.Â DepressionÂ is the constant feeling of being numb. You wake up in the morning just to go back to bed again.""",1,0.6
10 Foods I Eat Every Day to Beat Depression via @EverydayHealth https://www.everydayhealth.com/columns/therese-borchard-sanity-break/foods-eat-every-day-beat-depression/Â â€¦,0,0.0
"...I'm not afraid of rejection, but what she might say. She's so kind and caring that though she always means well, it hurts me even more. #dreamgirl #depression #wakeup",0,0.0
" https://twitter.com/SurekhaB_/status/1105357058721882112?s=19Â â€¦  Those old white people who did ""something bad,"" caused a ripple effect. What did you expect to happen?",0,0.0
"I agree with you. Alot of whites to this day benefitted. But the point remains, the young white didn't orchestra apartheid or ask for the fruits of that era. They were simply born. There are alot of people of colour of today that have benefitted from BEE wealth creation.",0,0.0
"I didn't think my depression was ""that bad"" until I unironically said ""Lana Del Rey's discography isn't sad enough""",1,0.4
"I love that the same show has living blobs of fat, ancient Gods that shape mankind's destiny, and stories about artists struggling with depression.   And I love what it can bring out in people. Kindness. Tolerance. Wonder.   It's the best show in the world.",0,0.0
once I get over my seasonal depression it is over for you hoes,1,0.3
My depression got really bad once and it caused me to lose my appetite for a little over a year. I lost a lot (and I mean A LOT) of weight. I got my appetite back though and when I began to gained my anxiety kicked in and I started doing anything I could to get lose it again :(,1,0.6
Why do only rich brats often go to depression for no or petite subject? ... I think it's because they can afford to.,0,0.0
Steps to a Happier Self ~ My recipe for life consists of a little bit of this and a little bit of that borne from my life experiences. Overcoming #depression #selfhelp #inspirational #joy #love #FREE with #KindleUnlimited  http://www.amazon.com/gp/product/B00EGPIZS4/?tag=bookclubpro-20Â â€¦ by @dolormarie,0,0.0
How I hate depression because of the pain it causes me but at the same time I still love it because of the realization it hits me.,1,0.4
"the Fed's actions were precisely b/c they took a Friedmanite/Reaganite approach, endorsed laissez-faire capitalism! What's hard to understand about this. The stock market got the way it was b/c in the 80s the Feds started to allow stock buybacks (regulated since Great Depression)",0,0.0
For me I think it starts with disappointment ~ over thinking~ frustrations~ stress ~ depression ~ then CONCLUSIONS that you're worthless no one cares and then boom... #MentalHealthBillKE,1,0.5
Here's an interesting article about #depression  http://www.everydayhealth.com/depression/understanding-atypical-depression.aspxÂ â€¦,0,0.0
"Given that depression is largely the product of a chemical imbalance, the introduction of chemicals foreign to the body can have enormously adverse consequences, both short and long term.",0,0.0
"My ability to learn is extracted from my body and dumped into the ocean of school works, depression, stress and expectations. I feel like Iâ€™m a shell of my former self.",1,0.3
"I always feel like it seems so fake to talk about my depression since itâ€™s seasonal, unlike clinical depression, but I just have to remember that the people who really matter to me will understand how fucking hard it is to live with any kind of depression, no matter what",1,0.5
Take me outta depression..,1,0.4
Depression is one of the worst conditions to have. Can never let you be happy. It controls your life. It makes you feel like nothing. When will it leave me alone,1,0.5
A similar thing happened to me when I was suffering major depression. Due to the fact that I might be well one day they would only give me sickness benefit for 6 weeks. Having to prove I was still ill was so stressful I nearly had a breakdown. ,1,0.6
I wish I could beat depression how I beat my meat,1,0.5
Struggling with depression is a bitch,1,0.4
"depression and stress take your life a long way backwards, if it is possible, make distance from both type of disorders at Best Psychiatrist in Gurgaon- Yadav Neuropsychiatry Centre on #Google  https://search.google.com/local/posts?q=Best+Psychiatrist+in+Gurgaon-+Yadav+Neuropsychiatry+Centre+Shop+No+6,+MCG+commercial+Centre+Old+railway+Road+Near+Prem+Mandir+Pratap+Nagar,+Sector+8&ludocid=17930223665255409136#lkt=LocalPoiPosts&lpstate=pid:9002007913919039669&trex=m_t:lcl_akp,rc_f:nav,rc_ludocids:17930223665255409136Â â€¦",0,0.0
"I sometimes cry myself to sleep because, at night I get really low and depression.",1,0.4
"Brain stimulation improves depression symptoms, restores brain waves in clinical study  http://healthmedicinet.com/i2/brain-stimulation-improves-depression-symptoms-restores-brain-waves-in-clinical-study/Â â€¦",0,0.0
I have cut off a lot of people for that but my friend turnover is really high now because of cutting off people and getting new friends. Depression is peak and im just tired now. I just want a bestie to reciprocate my energy and I'll be good.,1,0.3
"i cant stop my suicidal thoughts, depression, sadness, stress, emptiness. Want to kill myself.",1,0.8
"Terrible use of WWI  pics! The war was about a lot of things and Canada was far less free and ruled with blue laws, native residential schools,child labour,ect..it took the depression 2 world wars,Korean War,Vietnam war,civil rights movement to  get free!",0,0.0
"""The FDA approved the use of TMS in 2008 for treating depression, and Fox believes his study will prove it is also effective in lessening the symptoms of PTSD. #EMDR #trauma #therapy  https://rplg.co/344281c0Â  via @randybeamer",0,0.0
"The pressure  of life, mistakes, losses eventually stress then depression. Thank you !",1,0.6
"I know itâ€™s hard to believe that when all you feel is the hopelessness of depression. That's a moment that I turn to music. ""When the lies speak louder than the truth - remind me I belong to YOU. When I can't see past the dark of night,",1,0.6
"You see, the phrase ""everything happens for a reason"" really is true. One year ago today, depression and suicide ruled my life, inside and out. Despite the fact that Iâ€™d managed to hide my depression from family and friends, it is now known and it is getting better.",1,0.5
Only for rich people because the only people diagnosed with depression are usually the rich ones.,0,0.0
"ðŸ‘†  Apartheid was terrible, I'll never deny that. But the problem now is we have a generation of whites paying for the sins of some old dead white guys.",0,0.0
"""It is a great thing to hear music from a holy person playing on an instrument for the sake of heaven. Because through this, false fantasies are dismissed, the spirit of depression is dispelled, and the person merits happiness.",0,0.0
"FDRâ€™s New Deal, for instance, is revered as this revolutionary deal that saved everyone by western soc dems. They entirely ignore FDRâ€™s racist policies. The New Deal is advertised as this amazing only because the face of poverty during the Great Depression was white.",0,0.0
"Anxiety/Depression is never easy. I don't think i could really say ""I'm officially over it!"" Because once you might think you're over it, somethings comes up and it attacks again.",1,0.3
"I struggle letting myself ""feel out"" depression a lot. But when I do I always end up feeling myself let go of things I'm stressing over and it helps a lot. I hope that you guys are able to let yourself go sometimes. Let yourself cry and lay in bed. Sometimes we need it to feel ok",1,0.5
Proof that getting off depression pills without crippling side-effects can take MONTHS  https://ift.tt/2VMx13YÂ   https://ift.tt/1yrfXSFÂ ,0,0.0
Are you feeling angry and restless but donâ€™t really understand why? Talk to someone who can help. Contact Melanie:  http://www.flourish-therapy.comÂ  #Wokingham #angry #depression #Counsellor #Berkshire #Psychotherapy pic.twitter.com/BfMt0j898v,0,0.0
Depression Symptoms Improve Upon Brain Stimulation -  http://www.drugnews.in/2019/03/12/depression-symptoms-improve-upon-brain-stimulation/Â â€¦,0,0.0
I was sitting in solitude. Depression came and kissed me. And my anxiety made sure that it would never leave me.,1,0.6
Some nights I donâ€™t sleep the depression gets da best of me ðŸ˜©,1,0.5
"Ngh, please don't spread your cold to us... Just depression is already a problem for me, so...",1,0.4
Then why should it affect her,0,0.0
FDR's New Deal rescued America from the depths of the Depression but will Theresa May's new deal save the country from the depths of its depression?  #r4today,0,0.0
"â¤ï¸â¤ï¸â¤ï¸ Depression is real. And it is difficult to get help, but help is here!! #GetHelp #JustTalk  https://www.facebook.com/story.php?story_fbid=10157255110309940&id=725794939Â â€¦",0,0.0
Depression is annoying because no matter what happens I'm always gonna want to die.,1,0.8
"I just wanna tell everyone that I love @yungpinch, he's always there when I'm sad and feel like shit, his music gives me more than just hope, he can make me happy with just saying ""beachboy"". I passed through depression & Pinch was there, he's always there.  #4EVERANDALWAYS ðŸ’”ðŸŒŠ",0,0.0
"How to be #happy  Even the smallest kind act can improve your own mental wellbeing. For more tips on how to feel happier, more positive and able to get the most from life:    https://www.nhs.uk/conditions/stress-anxiety-depression/feel-better-and-happy/Â â€¦ #tbi #abi #braininjury #concussion #headinjury #stroke #depression #stress pic.twitter.com/HeGmckjz4u",0,0.0
Oooooof. That depression is a mother fucker when you sink into it. Pain . Cancer is a cunt. â™¥ï¸,1,0.6
"how annoying! I sometimes think depression waits until my guard is down like that. Bastard. I don't know how it works for you but i have to double all the things i know help (exercise, talking therapy etc) before it gets worse and convinces me not to do them.",1,0.4
"Someone told me that my depression and anxiety were a petty excuse for something, they told me that me being offended by people faking panic attacks is ridiculous and that Iâ€™m bitchy for talking about it. And apparently Iâ€™m in the wrong. ",1,0.5
What are the causes of depression?,0,0.0
"Tbh i thought i couldn't be able to bear that depression and would definitely attempt something stupid , tried once or twice , just 16 days before and now im used to this anxiety",1,0.5
"Go easy on yourself! According to research, striving for perfection can create #Stress #Depression #Anxiety causing poor #MentalHealth And stop worrying about #Security and #Safety issues! #OnwatchMultifire can help and advise you on both! #NetwatchGroup #CCTVUK #Go_Home_Healthy pic.twitter.com/Qap1THKxAJ",0,0.0
I think anxiety is what Iâ€™m best at. Iâ€™m the study for depression  https://twitter.com/anthoknees/status/1105372264713744384Â â€¦,1,0.5
"Mike, Iâ€™d love to help you any way I can. I used golf as a form of physical and mental health rehabilitation from a fatal car crash in 2006. I still use the same coping mechanisms now when Iâ€™m feeling depression & dark thoughts come through again. DM me and Iâ€™m happy to speak",1,0.3
A Spiritual Perspective on Anxiety and Depression  https://sinceretarot.com/anxiety-and-depression-a-spiritual-perspective/Â â€¦ #Depression #Meditation #YogicPractices #Spirituality #MentalEquilibrium #Peace #UnconditionalLove via @sinceretarot,0,0.0
"And I posted this because I felt like I was losing everyone around me due to dissociating and extreme depression after a breakup, I was also failing all of my classes and had insomnia from anxiety.  pic.twitter.com/U6REBHufZX",1,0.5
"""Understanding Depression"" is the 1st chapter of the LouChat audio-book, Overcoming Depression.  It focuses on explaining the causes and symptoms of depression from a Cameroonian perspective.  It would be released for free downloads soon! #LouChat pic.twitter.com/kGa7T8ogaT",0,0.0
The root cause is Mental health. I have a sick mind.  Depression is a the major issue.   So sad..............,1,0.6
"I was hoping that in the morning the stress would disappear, but it looks like it will be a long time. I don't wanna repeat that story when I went into depression for half a year(",1,0.4
"This is really insightful! Check out this fan art of Justin Bieber created by Belieber, @antarauhl, shortly after he shared with us on Instagram the struggles he has been experiencing with depression.  pic.twitter.com/khKGBTW89B",0,0.0
" Itâ€™s really depression, has always been unjust to me.",1,0.4
The weather today isnâ€™t doing much for my depression.,1,0.3
Justin Bieber tells about his battle with depression: 5 ways to deal with depression  https://ift.tt/2NZCWQtÂ ,0,0.0
"Depression is an illness not a choice Selfharm is an illness not a choice Eating Disorders is an illness not a choice Think before u assume! Nobody understands my  depression, nobody.",1,0.6
This place plays bts... Depression? CURED  pic.twitter.com/jTL1RtGhfc,0,0.0
Would anyone be interested in building a list of hope for anxiety and depression? Basically a list of drugs n treatments that could help people with anxiety and depression,0,0.0
when depression hits you in and everything is over.,1,0.4
It is the same for people with major depression. I had to jump through so many hoops to prove I had a disability that I nearly had a complete breakdown. For an illness that getting out of bed & showering is often impossible. I hope it kills me sooner.,1,0.85
"It's okay if you feel like this and think you can't do it  This is just life saying you need to take time and look after you ðŸ–¤ #depression and #anxiety is an on going battle and fight  some days you win and some days you lose , but i'll fight hard as long as possible.–¤ pic.twitter.com/9YgEjzbHXL",1,0.6
"here we go again, the depression's rocking up but I hope soon it will be okay.",1,0.2
"Because Seniors at that time weren't playing video games, watching porn & fumbling around life, yet already survived the Depression & had to start a family in like 2yrs. They fought wars & drove cars with no airbags  Guys in 1935 were the same maturity at 20 as 35yr old men today",0,0.0
what about you sponsor my life and I give you loads of depression in return please someone take it i dont want it,1,0.4
Facts,0,0.0
Thank You For Opting In! - Depression &  Anxiety,1,0.5
Mealth health does not necessarily mean going mad...it may refer to some extent of depression as well.  #MentalHealthBillKE,0,0.0
my battle with depression has been so up and down lately but i feel  better today than i have the last few days so thatâ€™s a positive ðŸ˜‹,1,0.3
"How am I supposed to work after this show, @twentyonepilots ? I don't care if I sound ridiculous but #BanditoParis was special, guys and I can feel the post-concert depression coming.",0,0.0
 #Cyberbullying sinking back into depression with facebook posts from a gang of friends from someone I loaned a huge amount of family money because they were in a desperate situation and had a guarantee of payment from sponsors,1,0.6
" Hormonal BC can be hell on the intestinal microbiome, contributing to depression etc. Science hasn't really sorted what is in or out of spec there, nor how to fix it when it's wrong.",0,0.0
Nobody seems to talk to those who have mental illness that’s nobody talks to me. I know that my depression has deepened over the past 3 years. ,1,0.7
"During the Great Depression, the Tennessee Valley Authority outlawed pet rabbits, forcing many to hot glue-gun long ears onto their pet mice",0,0.0
Use This Great Tips About Depression To Help You Better Understand -  http://www.101alternativehealing.com/use-this-great-tips-about-depression-to-help-you-better-understand/Â â€¦,0,0.0
"Life is not merely being alive, but being well. âœ… #DrRV #TuesdayThoughts #TuesdayMotivation #stayhealthy #health #healthylifestyle #healthy #healthyliving #staystrong #motivation #healthylife #love #healthcare #bhfyp #obesity #stress #depression  pic.twitter.com/nGx5gWNV7I",0,0.0
my demon coming to drop off some depression at 3 am pic.twitter.com/MMrn1wsI2c,1,0.3
Itâ€™s deadass to hide depression. Everything sucks. I am done now.,1,0.5
"I rly need help. Working nights fucks with depression, plus who i thought was my friend has just caused me so much stress. Have no reason to continue living.",1,0.8
"Yes, I celebrated my divorce after initial depression. Now my ex wife wants to marry me again but who wants to go to the prison again. I am advocating for her second marriage to someone else.",0,0.0
My depression is back,1,0.4
"Depression is as real as any other illness, and is finally being acknowledged. Millions of people have it (myself included) and it is treatable. But most importantly-GODS GOT THIS!",1,0.3
New journal available because your story isn't over yet ðŸ¦‹ ;  $6.99 + Free Shipping With Amazon Prime.  #SuicidePrevention #MyStoryIsntOverYet #SemicolonProject #ProjectSemicolon #journal My Story Isn't Over Yet: Semicolon Project #depression Awareness  https://www.amazon.com/dp/1090164971/ref=cm_sw_r_tw_apa_i_6v2HCb0YQGC2TÂ â€¦,0,0.0
Depends on the type of depression. I did all of those things that could have work but nothing worked for me.everyday fighting.,1,0.6
"Iâ€™ve lost so many friends to suicide since I left school, Iâ€™ve hit rock bottom and suffering from depression &  the suicidial thoughts haunt me.",1,0.9
"NEWS 10 years ago: magagandang tanawin   NEWS 10 years later (present):  depression, suicide, rape   i kinda miss how the world used to be happy ten yers ago.?",0,0.0
I got a dog in hopes I wouldnâ€™t be so depressed all the time...it didnâ€™t work folks im back in it. We good though j hoping itâ€™s seasonal depression. That should be over and done with soon.,1,0.6
#MentalHealthBillKE The scourge of depression among young Kenyans is raising eyebrows and young people need to start seeking help instead of going to such extreme measures.  pic.twitter.com/iD7dHa1KGG,0,0.0
Depression.,1,0.5
Therapy over Skype for Anxiety & Depression  https://www.youtube.com/watch?v=VSE73jZOwGcÂ â€¦,0,0.0
Man c2e2 is next my cosplays are coming together I should be excited but this bitch ass depression won't let me,1,0.4
"Mental disorders include: ðŸŽ·Depression, ðŸŽ·Anxiety, ðŸŽ·Bipolar, ðŸŽ·Attention deficit hyperactivity, among others. #MentalHealthBillKE",0,0.0
PsoriaticÂ Inflammation and theÂ Brain. Studies have shown that people withÂ psoriaticÂ disease are at an increased risk for anxiety and depression. ... There is growing evidence that the inflammation that causesÂ psoriaticdiseaseÂ can affect the brain,0,0.0
"One thing that i've always tried to hang to with my depression is that it WILL get better. I was diagnosed in 1995, and for every dark period i've had, the recovery has been brighter. But since 2016, my grip on that sliver of hope has got weaker and weaker. things are about to end for me soon.",1,0.8
Moving is a complicated process to which many people find it difficult to adjust. Read these 6 ways and learn how to to cope with relocation depression:   #VantasticRemovals #MovingCompany #ProfessionalMovers #Moving #Removalist https://vantasticlondon.co.uk/uncategorized/relocation-depression/Â â€¦,0,0.0
"â€œArthritis and musculoskeletal (MSK) conditions affect over 17 million people across the UK, causing pain, disability, fatigue and often anxiety, depression or social isolation.â€ Great overview of the impact of #msk conditions @nhsrightcare https://twitter.com/phe_uk/status/1105371597395775490Â â€¦",0,0.0
 feels like my life is stagnant and wallowing in depression.   pic.twitter.com/NmJraeK0ny,1,0.5
i am a psychopat. it's pritty hard as i suffer from depression to get really open.,1,0.5
"Cortisol is a stress hormone that opposes many of the body's metabolic pathways that help maintain proper weight status.  Frowning, depression, sadness and stress can increase cortisolâ€¦  https://www.instagram.com/p/Bu5qCKDhf4-/?utm_source=ig_twitter_share&igshid=12qk8xk50sljuÂ â€¦",0,0.0
"""under the wheels"" (12/March/19) B-word bloGGery... #brexit #politics #depression #anxiety #xenophobia #EU #UK #Britain #news #Westminster https://meonomous.wordpress.com/2019/03/12/under-the-wheels-12-march-19/Â â€¦",0,0.0
 depression is all I can feel and I have. ,1,0.6
"Kill Off Depression - Created using Powtoon,   http://www.powtoon.comÂ  https://www.powtoon.com/t/dTJ1te6TYI4/1/m?utm_source=twitter&utm_medium=share&utm_content=%2Fonline-presentation%2FdTJ1te6TYI4%2F&campaign=my+player+pageÂ â€¦",0,0.0
Damn. Depression just slapped me in the fucking face,1,0.4
